"timestamp"	"site"	"requests"
"2015-03-16T00:09:55"	"mobile"	1595
"2015-03-16T00:10:39"	"mobile"	1544
"2015-03-16T00:19:39"	"desktop"	2460
"2015-03-16T00:38:11"	"desktop"	2237
"2015-03-16T00:42:40"	"mobile"	1656
"2015-03-16T00:52:24"	"desktop"	2452
"2015-03-16T00:54:16"	"mobile"	1654
"2015-03-16T01:18:11"	"mobile"	1720
"2015-03-16T01:30:32"	"desktop"	2288
"2015-03-16T01:32:24"	"mobile"	1609
"2015-03-16T01:42:08"	"desktop"	2341
"2015-03-16T01:45:53"	"mobile"	1704
"2015-03-16T01:55:37"	"desktop"	2554
"2015-03-16T01:57:29"	"mobile"	1825
"2015-03-16T02:03:16"	"desktop"	2492
"2015-03-16T02:10:32"	"mobile"	1667
"2015-03-16T02:16:45"	"desktop"	2452
"2015-03-16T02:19:32"	"desktop"	2412
"2015-03-16T02:20:16"	"desktop"	2350
"2015-03-16T02:22:08"	"mobile"	1802
"2015-03-16T02:33:45"	"desktop"	2462
"2015-03-16T02:35:37"	"mobile"	1580
"2015-03-16T03:00:16"	"mobile"	1703
"2015-03-16T03:06:29"	"desktop"	2476
"2015-03-16T03:13:45"	"mobile"	1548
"2015-03-16T03:19:58"	"desktop"	2265
"2015-03-16T03:25:01"	"desktop"	2341
"2015-03-16T03:38:30"	"desktop"	2198
"2015-03-16T03:52:43"	"desktop"	2283
"2015-03-16T03:57:22"	"mobile"	1410
"2015-03-16T04:03:29"	"mobile"	1360
"2015-03-16T04:16:58"	"mobile"	1383
"2015-03-16T04:22:01"	"mobile"	1413
"2015-03-16T04:28:14"	"desktop"	2374
"2015-03-16T04:30:51"	"desktop"	2177
"2015-03-16T04:35:30"	"mobile"	1265
"2015-03-16T04:42:27"	"desktop"	2152
"2015-03-16T04:47:06"	"mobile"	1391
"2015-03-16T04:55:56"	"desktop"	2211
"2015-03-16T05:06:22"	"desktop"	2105
"2015-03-16T05:08:14"	"mobile"	1218
"2015-03-16T05:10:51"	"mobile"	1208
"2015-03-16T05:19:51"	"desktop"	2180
"2015-03-16T05:20:35"	"desktop"	2238
"2015-03-16T05:22:27"	"mobile"	1206
"2015-03-16T05:35:56"	"mobile"	1134
"2015-03-16T06:00:35"	"mobile"	1050
"2015-03-16T06:09:35"	"desktop"	2224
"2015-03-16T06:10:19"	"desktop"	2295
"2015-03-16T06:23:48"	"desktop"	2020
"2015-03-16T06:42:20"	"desktop"	2027
"2015-03-16T06:44:12"	"mobile"	976
"2015-03-16T06:57:41"	"mobile"	894
"2015-03-16T07:01:56"	"desktop"	2211
"2015-03-16T07:03:48"	"mobile"	916
"2015-03-16T07:22:20"	"mobile"	977
"2015-03-16T07:32:04"	"desktop"	2515
"2015-03-16T07:45:33"	"desktop"	2155
"2015-03-16T07:47:25"	"mobile"	878
"2015-03-16T07:57:09"	"desktop"	2286
"2015-03-16T08:06:41"	"desktop"	2227
"2015-03-16T08:12:04"	"mobile"	948
"2015-03-16T08:18:17"	"desktop"	2113
"2015-03-16T08:20:54"	"desktop"	2227
"2015-03-16T08:25:33"	"mobile"	881
"2015-03-16T08:37:09"	"mobile"	876
"2015-03-16T08:45:59"	"desktop"	2255
"2015-03-16T08:51:02"	"desktop"	2339
"2015-03-16T09:03:41"	"mobile"	839
"2015-03-16T09:09:54"	"desktop"	2389
"2015-03-16T09:10:38"	"desktop"	2411
"2015-03-16T09:15:17"	"mobile"	866
"2015-03-16T09:28:46"	"mobile"	867
"2015-03-16T09:42:59"	"mobile"	863
"2015-03-16T09:54:15"	"desktop"	2635
"2015-03-16T10:02:50"	"mobile"	863
"2015-03-16T10:14:26"	"mobile"	974
"2015-03-16T10:27:55"	"mobile"	863
"2015-03-16T10:39:11"	"desktop"	2391
"2015-03-16T10:53:24"	"desktop"	2236
"2015-03-16T10:58:03"	"mobile"	1088
"2015-03-16T11:19:11"	"mobile"	1039
"2015-03-16T11:31:32"	"desktop"	2538
"2015-03-16T11:33:24"	"mobile"	981
"2015-03-16T11:43:08"	"desktop"	2619
"2015-03-16T11:46:53"	"mobile"	961
"2015-03-16T11:56:37"	"desktop"	2647
"2015-03-16T11:58:29"	"mobile"	1042
"2015-03-16T12:07:03"	"desktop"	2588
"2015-03-16T12:11:32"	"mobile"	988
"2015-03-16T12:21:16"	"desktop"	2663
"2015-03-16T12:23:08"	"mobile"	1141
"2015-03-16T12:34:45"	"desktop"	2576
"2015-03-16T12:36:37"	"mobile"	1037
"2015-03-16T13:01:16"	"mobile"	1124
"2015-03-16T13:07:29"	"desktop"	2871
"2015-03-16T13:14:45"	"mobile"	1071
"2015-03-16T13:26:01"	"desktop"	3211
"2015-03-16T13:39:30"	"desktop"	2943
"2015-03-16T13:43:01"	"desktop"	3200
